model,selection_segment,mae,rmse,bias,r2
hist_gradient_boosting_absolute_error,tuning_window,11.215791933660588,16.31811232656089,1.3267518732601602,0.8091932573401239
gradient_boosting_huber,tuning_window,11.944952534796371,16.887233131857734,2.551468716820341,0.7956517706805237
hist_gradient_boosting_squared_error,tuning_window,12.85165431138793,19.277707113227063,1.8363650402734228,0.7337040040059406
extra_trees,tuning_window,14.186448122720497,20.691204933228498,4.491977892844297,0.6932211286856913
ridge_linear,tuning_window,16.001004585311296,20.12341520161627,11.691068279966775,0.7098268281615654
